,count_in_china_andothers,word_in_china_andothers,datechina_andothers,count_in_onlyworld,word_in_onlyworld,dateonlyworld,count_in_onlychina,word_in_onlychina,dateonlychina,count_in_all,word_in_all,dateall,percent_in_china_andothers,word_in_china_andothers_y,datechina_andothers_y,percent_in_only_world,word_in_only_world,dateonly_world,percent_in_only_china,word_in_only_china,dateonly_china
145,0,central,2020-02,0,central,2020-02,22,central,2020-02,28,central,2020-02,0.0,central,2020-02,0.0,central,2020-02,0.0037326094333220200,central,2020-02
146,0,central,2020-03,1,central,2020-03,13,central,2020-03,16,central,2020-03,0.0,central,2020-03,0.00020128824476650600,central,2020-03,0.002616747181964570,central,2020-03
147,0,death,2020-01,3,death,2020-01,1,death,2020-01,10,death,2020-01,0.0,death,2020-01,0.000586739683160571,death,2020-01,0.00019557989438685700,death,2020-01
148,0,death,2020-02,5,death,2020-02,2,death,2020-02,13,death,2020-02,0.0,death,2020-02,0.0008483203257550050,death,2020-02,0.00033932813030200200,death,2020-02
149,0,death,2020-03,29,death,2020-03,4,death,2020-03,47,death,2020-03,0.0,death,2020-03,0.005837359098228660,death,2020-03,0.0008051529790660230,death,2020-03
150,0,video,2020-01,4,video,2020-01,11,video,2020-01,23,video,2020-01,0.0,video,2020-01,0.0007823195775474280,video,2020-01,0.0021513788382554300,video,2020-01
151,1,video,2020-02,1,video,2020-02,18,video,2020-02,34,video,2020-02,0.003787878787878790,video,2020-02,0.00016966406515100100,video,2020-02,0.003053953172718020,video,2020-02
152,1,video,2020-03,1,video,2020-03,5,video,2020-03,12,video,2020-03,0.0013175230566534900,video,2020-03,0.00020128824476650600,video,2020-03,0.001006441223832530,video,2020-03
153,0,jinping,2020-01,0,jinping,2020-01,17,jinping,2020-01,33,jinping,2020-01,0.0,jinping,2020-01,0.0,jinping,2020-01,0.0033248582045765700,jinping,2020-01
154,0,jinping,2020-02,1,jinping,2020-02,6,jinping,2020-02,14,jinping,2020-02,0.0,jinping,2020-02,0.00016966406515100100,jinping,2020-02,0.0010179843909060100,jinping,2020-02
155,0,jinping,2020-03,2,jinping,2020-03,8,jinping,2020-03,21,jinping,2020-03,0.0,jinping,2020-03,0.00040257648953301100,jinping,2020-03,0.001610305958132050,jinping,2020-03
156,2,world,2020-01,5,world,2020-01,15,world,2020-01,29,world,2020-01,0.006369426751592360,world,2020-01,0.0009778994719342850,world,2020-01,0.0029336984158028600,world,2020-01
157,0,world,2020-02,1,world,2020-02,7,world,2020-02,14,world,2020-02,0.0,world,2020-02,0.00016966406515100100,world,2020-02,0.0011876484560570100,world,2020-02
158,1,world,2020-03,2,world,2020-03,12,world,2020-03,25,world,2020-03,0.0013175230566534900,world,2020-03,0.00040257648953301100,world,2020-03,0.0024154589371980700,world,2020-03
159,0,including,2020-01,0,including,2020-01,11,including,2020-01,12,including,2020-01,0.0,including,2020-01,0.0,including,2020-01,0.0021513788382554300,including,2020-01
160,0,including,2020-02,6,including,2020-02,13,including,2020-02,26,including,2020-02,0.0,including,2020-02,0.0010179843909060100,including,2020-02,0.002205632846963010,including,2020-02
161,1,including,2020-03,4,including,2020-03,17,including,2020-03,29,including,2020-03,0.0013175230566534900,including,2020-03,0.0008051529790660230,including,2020-03,0.003421900161030600,including,2020-03
162,2,xijinping,2020-01,0,xijinping,2020-01,18,xijinping,2020-01,21,xijinping,2020-01,0.006369426751592360,xijinping,2020-01,0.0,xijinping,2020-01,0.0035204380989634300,xijinping,2020-01
163,1,xijinping,2020-02,1,xijinping,2020-02,22,xijinping,2020-02,25,xijinping,2020-02,0.003787878787878790,xijinping,2020-02,0.00016966406515100100,xijinping,2020-02,0.0037326094333220200,xijinping,2020-02
164,2,xijinping,2020-03,1,xijinping,2020-03,18,xijinping,2020-03,21,xijinping,2020-03,0.002635046113306980,xijinping,2020-03,0.00020128824476650600,xijinping,2020-03,0.0036231884057971000,xijinping,2020-03
165,0,old,2020-01,1,old,2020-01,8,old,2020-01,16,old,2020-01,0.0,old,2020-01,0.00019557989438685700,old,2020-01,0.0015646391550948600,old,2020-01
166,0,old,2020-02,4,old,2020-02,6,old,2020-02,34,old,2020-02,0.0,old,2020-02,0.0006786562606040040,old,2020-02,0.0010179843909060100,old,2020-02
167,0,old,2020-03,4,old,2020-03,5,old,2020-03,17,old,2020-03,0.0,old,2020-03,0.0008051529790660230,old,2020-03,0.001006441223832530,old,2020-03
168,1,according,2020-01,3,according,2020-01,10,according,2020-01,21,according,2020-01,0.0031847133757961800,according,2020-01,0.000586739683160571,according,2020-01,0.0019557989438685700,according,2020-01
169,3,according,2020-02,7,according,2020-02,3,according,2020-02,20,according,2020-02,0.011363636363636400,according,2020-02,0.0011876484560570100,according,2020-02,0.0005089921954530030,according,2020-02
170,0,according,2020-03,16,according,2020-03,1,according,2020-03,25,according,2020-03,0.0,according,2020-03,0.00322061191626409,according,2020-03,0.00020128824476650600,according,2020-03
171,0,italy,2020-01,1,italy,2020-01,0,italy,2020-01,1,italy,2020-01,0.0,italy,2020-01,0.00019557989438685700,italy,2020-01,0.0,italy,2020-01
172,2,italy,2020-02,12,italy,2020-02,0,italy,2020-02,13,italy,2020-02,0.007575757575757580,italy,2020-02,0.0020359687818120100,italy,2020-02,0.0,italy,2020-02
173,13,italy,2020-03,42,italy,2020-03,3,italy,2020-03,50,italy,2020-03,0.017127799736495400,italy,2020-03,0.008454106280193240,italy,2020-03,0.0006038647342995170,italy,2020-03
174,0,spring,2020-01,2,spring,2020-01,7,spring,2020-01,18,spring,2020-01,0.0,spring,2020-01,0.00039115978877371400,spring,2020-01,0.0013690592607080000,spring,2020-01
175,0,spring,2020-02,0,spring,2020-02,12,spring,2020-02,19,spring,2020-02,0.0,spring,2020-02,0.0,spring,2020-02,0.0020359687818120100,spring,2020-02
176,0,spring,2020-03,0,spring,2020-03,10,spring,2020-03,27,spring,2020-03,0.0,spring,2020-03,0.0,spring,2020-03,0.002012882447665060,spring,2020-03
177,1,1st,2020-01,0,1st,2020-01,7,1st,2020-01,14,1st,2020-01,0.0031847133757961800,1st,2020-01,0.0,1st,2020-01,0.0013690592607080000,1st,2020-01
178,1,1st,2020-02,2,1st,2020-02,9,1st,2020-02,25,1st,2020-02,0.003787878787878790,1st,2020-02,0.00033932813030200200,1st,2020-02,0.001526976586359010,1st,2020-02
179,1,1st,2020-03,7,1st,2020-03,6,1st,2020-03,24,1st,2020-03,0.0013175230566534900,1st,2020-03,0.0014090177133655400,1st,2020-03,0.0012077294685990300,1st,2020-03
180,0,infected,2020-01,0,infected,2020-01,4,infected,2020-01,5,infected,2020-01,0.0,infected,2020-01,0.0,infected,2020-01,0.0007823195775474280,infected,2020-01
181,1,infected,2020-02,2,infected,2020-02,13,infected,2020-02,39,infected,2020-02,0.003787878787878790,infected,2020-02,0.00033932813030200200,infected,2020-02,0.002205632846963010,infected,2020-02
182,0,infected,2020-03,6,infected,2020-03,5,infected,2020-03,15,infected,2020-03,0.0,infected,2020-03,0.0012077294685990300,infected,2020-03,0.001006441223832530,infected,2020-03
183,0,update,2020-01,1,update,2020-01,7,update,2020-01,14,update,2020-01,0.0,update,2020-01,0.00019557989438685700,update,2020-01,0.0013690592607080000,update,2020-01
184,0,update,2020-02,8,update,2020-02,3,update,2020-02,29,update,2020-02,0.0,update,2020-02,0.0013573125212080100,update,2020-02,0.0005089921954530030,update,2020-02
185,1,update,2020-03,6,update,2020-03,3,update,2020-03,15,update,2020-03,0.0013175230566534900,update,2020-03,0.0012077294685990300,update,2020-03,0.0006038647342995170,update,2020-03
186,0,covid,2020-01,0,covid,2020-01,0,covid,2020-01,0,covid,2020-01,0.0,covid,2020-01,0.0,covid,2020-01,0.0,covid,2020-01
187,0,covid,2020-02,0,covid,2020-02,0,covid,2020-02,1,covid,2020-02,0.0,covid,2020-02,0.0,covid,2020-02,0.0,covid,2020-02
188,5,covid,2020-03,20,covid,2020-03,10,covid,2020-03,56,covid,2020-03,0.006587615283267460,covid,2020-03,0.004025764895330110,covid,2020-03,0.002012882447665060,covid,2020-03
189,0,discharged,2020-01,0,discharged,2020-01,2,discharged,2020-01,2,discharged,2020-01,0.0,discharged,2020-01,0.0,discharged,2020-01,0.00039115978877371400,discharged,2020-01
190,1,discharged,2020-02,1,discharged,2020-02,8,discharged,2020-02,27,discharged,2020-02,0.003787878787878790,discharged,2020-02,0.00016966406515100100,discharged,2020-02,0.0013573125212080100,discharged,2020-02
191,0,discharged,2020-03,0,discharged,2020-03,27,discharged,2020-03,28,discharged,2020-03,0.0,discharged,2020-03,0.0,discharged,2020-03,0.005434782608695650,discharged,2020-03
192,0,south,2020-01,1,south,2020-01,10,south,2020-01,12,south,2020-01,0.0,south,2020-01,0.00019557989438685700,south,2020-01,0.0019557989438685700,south,2020-01
193,0,south,2020-02,13,south,2020-02,2,south,2020-02,18,south,2020-02,0.0,south,2020-02,0.002205632846963010,south,2020-02,0.00033932813030200200,south,2020-02
